k,lo,hi,width,mid,prime_count,proxy_width_over_logmid,raw_density,log_normalized_density,relative_residual_vs_proxy,z_poisson_like
6,64,127,64,96.0,13,14.02171730010335,0.203125,0.9271332263919042,-0.07286677360809578,-0.27285388617006306
7,128,255,128,192.0,23,24.34619356604992,0.1796875,0.944706199661242,-0.05529380033875802,-0.27282990719216416
8,256,511,256,384.0,43,43.02056420590656,0.16796875,0.9995219912549698,-0.00047800874503027134,-0.003135262390604437
9,512,1023,512,768.0,75,77.06444974402078,0.146484375,0.9732113866915536,-0.026788613308446445,-0.23516748475776547
10,1024,2047,1024,1536.0,137,139.56778040258985,0.1337890625,0.9816019113065856,-0.018398088693414506,-0.21735282743056186
11,2048,4095,2048,3072.0,255,255.040915631507,0.12451171875,0.9998395722842913,-0.00016042771570864902,-0.0025620306983808044
12,4096,8191,4096,6144.0,464,469.550774358094,0.11328125,0.9881785428515537,-0.011821457148446277,-0.2561605770115736
13,8192,16383,8192,12288.0,872,869.9735295062465,0.1064453125,1.0023293473019848,0.002329347301984778,0.0687048293584708
14,16384,32767,16384,24576.0,1612,1620.6497307590632,0.098388671875,0.9946628006071294,-0.005337199392870636,-0.21486120579519877
15,32768,65535,32768,49152.0,3030,3033.323378074349,0.09246826171875,0.9989043772588273,-0.0010956227411726715,-0.06034209638197341
16,65536,131071,65536,98304.0,5709,5700.854746918354,0.0871124267578125,1.0014287775155206,0.001428777515520619,0.10787842444752677
17,131072,262143,131072,196608.0,10749,10753.33111410635,0.08200836181640625,0.9995972304711545,-0.00040276952884561994,-0.04176650318126992
18,262144,524287,262144,393216.0,20390,20349.45450033172,0.07778167724609375,1.0019924612557853,0.0019924612557853777,0.28422761510012273
19,524288,1048575,524288,786432.0,38635,38620.8397166827,0.07369041442871094,1.0003666487684157,0.0003666487684157021,0.07205449631151531
20,1048576,2097151,1048576,1572864.0,73586,73489.34423087671,0.07017707824707031,1.0013152351559926,0.0013152351559925636,0.3565460216864708
21,2097152,4194303,2097152,3145728.0,140336,140169.37904290023,0.06691741943359375,1.0011887115305602,0.0011887115305603115,0.4450441022387521
22,4194304,8388607,4194304,6291456.0,268216,267926.1291927107,0.06394767761230469,1.0010819057034963,0.0010819057034964505,0.5600114995992818
23,8388608,16777215,8388608,12582912.0,513708,513132.17738596944,0.061238765716552734,1.0011221721018626,0.001122172101862634,0.8038482898449889
24,16777216,33554431,16777216,25165824.0,985818,984520.7745349612,0.058759331703186035,1.0013176212209962,0.0013176212209961098,1.3073835707823693
